,track_uri,artist_uri,genres
0,4GvHfRUyNfNz86FbnDThDl,3TVjdmhfFoYJLgBEkkZTBm,deep pop edm
0,4GvHfRUyNfNz86FbnDThDl,3TVjdmhfFoYJLgBEkkZTBm,pop dance
0,4GvHfRUyNfNz86FbnDThDl,3TVjdmhfFoYJLgBEkkZTBm,swedish tropical house
1,6q79iFTPE7eLM0Z7EEBQEV,2PLiFvOw5jPlHoGoxjeeaf,
2,6eXFl418w8hsxKcLgv1jwJ,5fMUXHkw8R8eOP2RNVYEZX,edm
2,6eXFl418w8hsxKcLgv1jwJ,5fMUXHkw8R8eOP2RNVYEZX,electro house
2,6eXFl418w8hsxKcLgv1jwJ,5fMUXHkw8R8eOP2RNVYEZX,moombahton
2,6eXFl418w8hsxKcLgv1jwJ,5fMUXHkw8R8eOP2RNVYEZX,pop dance
3,1TFljRRw6jLg0qGP1Qa1Gc,4m1yRHUMhvB8gKAJTjK4kO,brostep
3,1TFljRRw6jLg0qGP1Qa1Gc,4m1yRHUMhvB8gKAJTjK4kO,electro house
3,1TFljRRw6jLg0qGP1Qa1Gc,4m1yRHUMhvB8gKAJTjK4kO,electronic trap
4,5B6Kjha6RRIMWGN7zGsAaT,4Ge8xMJNwt6EEXOzVXju9a,art pop
4,5B6Kjha6RRIMWGN7zGsAaT,4Ge8xMJNwt6EEXOzVXju9a,escape room
4,5B6Kjha6RRIMWGN7zGsAaT,4Ge8xMJNwt6EEXOzVXju9a,indie pop
4,5B6Kjha6RRIMWGN7zGsAaT,4Ge8xMJNwt6EEXOzVXju9a,indietronica
5,324Jd5N9usVLnRluow8ojb,6vqMDhoigg5btfdPsPTVFt,australian indie
5,324Jd5N9usVLnRluow8ojb,6vqMDhoigg5btfdPsPTVFt,australian indie rock
5,324Jd5N9usVLnRluow8ojb,6vqMDhoigg5btfdPsPTVFt,brisbane indie
6,05IyD7K9Q4lgu8W4Xfi9Lx,1ikID9RZZMvkuBGDWrqajq,future bass
6,05IyD7K9Q4lgu8W4Xfi9Lx,1ikID9RZZMvkuBGDWrqajq,pop edm
6,05IyD7K9Q4lgu8W4Xfi9Lx,1ikID9RZZMvkuBGDWrqajq,swedish electropop
6,05IyD7K9Q4lgu8W4Xfi9Lx,1ikID9RZZMvkuBGDWrqajq,vapor twitch
7,3unpulZnIiKRZ4MCymHfXx,63XBtGSEZINSyXylZxEUbv,alternative r&b
8,5d8a5B6RlYnquvR4X4OIrX,69GGBxA162lTqCwzJG5jLp,electropop
8,5d8a5B6RlYnquvR4X4OIrX,69GGBxA162lTqCwzJG5jLp,pop
9,2CgOd0Lj5MuvOqzqdaAXtS,3dz0NnIZhtKKeXZxLOxCam,complextro
9,2CgOd0Lj5MuvOqzqdaAXtS,3dz0NnIZhtKKeXZxLOxCam,edm
9,2CgOd0Lj5MuvOqzqdaAXtS,3dz0NnIZhtKKeXZxLOxCam,electro house
9,2CgOd0Lj5MuvOqzqdaAXtS,3dz0NnIZhtKKeXZxLOxCam,pop dance
9,2CgOd0Lj5MuvOqzqdaAXtS,3dz0NnIZhtKKeXZxLOxCam,progressive electro house
10,2xqAKNirOkGmtvcD6rvifZ,23fqKkggKUBHNkbKtXEls4,edm
10,2xqAKNirOkGmtvcD6rvifZ,23fqKkggKUBHNkbKtXEls4,pop
10,2xqAKNirOkGmtvcD6rvifZ,23fqKkggKUBHNkbKtXEls4,pop dance
10,2xqAKNirOkGmtvcD6rvifZ,23fqKkggKUBHNkbKtXEls4,tropical house
11,4nvLkkNIJss0ZgdWFzio6b,4cn4gMq0KXORHeYA45PcBi,bossa nova
11,4nvLkkNIJss0ZgdWFzio6b,4cn4gMq0KXORHeYA45PcBi,mpb
11,4nvLkkNIJss0ZgdWFzio6b,4cn4gMq0KXORHeYA45PcBi,nova mpb
11,4nvLkkNIJss0ZgdWFzio6b,4cn4gMq0KXORHeYA45PcBi,samba
12,5NOh0KTu5VNFUyRRaOjfDH,0FVj4JuzTyudaXAwfqDQ20,deep tropical house
12,5NOh0KTu5VNFUyRRaOjfDH,0FVj4JuzTyudaXAwfqDQ20,pop edm
12,5NOh0KTu5VNFUyRRaOjfDH,0FVj4JuzTyudaXAwfqDQ20,vapor soul
12,5NOh0KTu5VNFUyRRaOjfDH,0FVj4JuzTyudaXAwfqDQ20,vapor twitch
13,2YvQO5jfnT29NL2dUwY0ou,5ChF3i92IPZHduM7jN3dpg,big room
13,2YvQO5jfnT29NL2dUwY0ou,5ChF3i92IPZHduM7jN3dpg,dutch edm
13,2YvQO5jfnT29NL2dUwY0ou,5ChF3i92IPZHduM7jN3dpg,dutch house
13,2YvQO5jfnT29NL2dUwY0ou,5ChF3i92IPZHduM7jN3dpg,edm
13,2YvQO5jfnT29NL2dUwY0ou,5ChF3i92IPZHduM7jN3dpg,electro house
13,2YvQO5jfnT29NL2dUwY0ou,5ChF3i92IPZHduM7jN3dpg,pop dance
13,2YvQO5jfnT29NL2dUwY0ou,5ChF3i92IPZHduM7jN3dpg,progressive electro house
14,0SbDNXZYqfsMarINcb72X5,5tDjiBYUsTqzd0RkTZxK7u,
15,7aXlU5AC9cLJsXycbMcVEN,75nC6MXUalYZSOd7OfNkwq,deep house
15,7aXlU5AC9cLJsXycbMcVEN,75nC6MXUalYZSOd7OfNkwq,german house
15,7aXlU5AC9cLJsXycbMcVEN,75nC6MXUalYZSOd7OfNkwq,hamburg electronic
15,7aXlU5AC9cLJsXycbMcVEN,75nC6MXUalYZSOd7OfNkwq,house
15,7aXlU5AC9cLJsXycbMcVEN,75nC6MXUalYZSOd7OfNkwq,nu disco
16,5yFSF6qQA1rcLsQRnBsZgb,7vk5e3vY1uw9plTHJAMwjN,electro house
17,0D4JFdUDUVh3zYT1HFMd1K,7J7wDWLxbvVQdozTVeNWdp,french indietronica
18,3vLByi1CdmNJPpTtOdKqAQ,4OSArit7O2Jaj4mgf3YN7A,aussietronica
18,3vLByi1CdmNJPpTtOdKqAQ,4OSArit7O2Jaj4mgf3YN7A,brisbane indie
19,09W9ZVEsg5VjGva2lM21dl,5ChF3i92IPZHduM7jN3dpg,big room
19,09W9ZVEsg5VjGva2lM21dl,5ChF3i92IPZHduM7jN3dpg,dutch edm
19,09W9ZVEsg5VjGva2lM21dl,5ChF3i92IPZHduM7jN3dpg,dutch house
19,09W9ZVEsg5VjGva2lM21dl,5ChF3i92IPZHduM7jN3dpg,edm
19,09W9ZVEsg5VjGva2lM21dl,5ChF3i92IPZHduM7jN3dpg,electro house
19,09W9ZVEsg5VjGva2lM21dl,5ChF3i92IPZHduM7jN3dpg,pop dance
19,09W9ZVEsg5VjGva2lM21dl,5ChF3i92IPZHduM7jN3dpg,progressive electro house
20,1eCTQhsNA31FcwyNcJcf86,7cSbcJTJBBSXDjRNR2qD61,sad lo-fi
21,5CVOeNkatHhW7Uc7M7zffK,6XAHISf3026faZ4T35qrSy,
22,0ygr1n1Xk1UvWrzJXjVVng,2HkSsS8O2U2gPhnCGVN5vn,indie pop
22,0ygr1n1Xk1UvWrzJXjVVng,2HkSsS8O2U2gPhnCGVN5vn,la pop
22,0ygr1n1Xk1UvWrzJXjVVng,2HkSsS8O2U2gPhnCGVN5vn,pov: indie
23,2bjZY6qnQWOLpS0n1TtrbM,1ikID9RZZMvkuBGDWrqajq,future bass
23,2bjZY6qnQWOLpS0n1TtrbM,1ikID9RZZMvkuBGDWrqajq,pop edm
23,2bjZY6qnQWOLpS0n1TtrbM,1ikID9RZZMvkuBGDWrqajq,swedish electropop
23,2bjZY6qnQWOLpS0n1TtrbM,1ikID9RZZMvkuBGDWrqajq,vapor twitch
24,0W3XXRdUeLUEYul1NMCnTo,1N9n8MSxrr4Emhb566493b,edm
24,0W3XXRdUeLUEYul1NMCnTo,1N9n8MSxrr4Emhb566493b,electro house
24,0W3XXRdUeLUEYul1NMCnTo,1N9n8MSxrr4Emhb566493b,pop dance
24,0W3XXRdUeLUEYul1NMCnTo,1N9n8MSxrr4Emhb566493b,progressive house
25,0eQOusYQKiwfQlsPRNRulI,7rTaJdlfaYrV7WOUSm2U9I,experimental techno
25,0eQOusYQKiwfQlsPRNRulI,7rTaJdlfaYrV7WOUSm2U9I,russian electronic
26,6C7OF1Jal7YkyjzyUG8vkK,06HL4z0CvFAxyc27GXpf02,pop
27,0puff9xYitfD3Mh1wigdFV,0q4NrXqJnc367PieejuROJ,chicano rap
28,6FRxFke9VsjXmibGgSeKki,5vBSrE1xujD2FXYRarbAXc,gauze pop
28,6FRxFke9VsjXmibGgSeKki,5vBSrE1xujD2FXYRarbAXc,pop
28,6FRxFke9VsjXmibGgSeKki,5vBSrE1xujD2FXYRarbAXc,uk pop
29,2bQhVQbV7VBzSOPo8mbkUR,69GGBxA162lTqCwzJG5jLp,electropop
29,2bQhVQbV7VBzSOPo8mbkUR,69GGBxA162lTqCwzJG5jLp,pop
30,33yAEqzKXexYM3WlOYtTfQ,1gR0gsQYfi6joyO1dlp76N,alternative dance
30,33yAEqzKXexYM3WlOYtTfQ,1gR0gsQYfi6joyO1dlp76N,dance-punk
30,33yAEqzKXexYM3WlOYtTfQ,1gR0gsQYfi6joyO1dlp76N,electronica
30,33yAEqzKXexYM3WlOYtTfQ,1gR0gsQYfi6joyO1dlp76N,filter house
30,33yAEqzKXexYM3WlOYtTfQ,1gR0gsQYfi6joyO1dlp76N,indietronica
30,33yAEqzKXexYM3WlOYtTfQ,1gR0gsQYfi6joyO1dlp76N,neo-synthpop
30,33yAEqzKXexYM3WlOYtTfQ,1gR0gsQYfi6joyO1dlp76N,new rave
31,1mQ3ryvTBSWeEMkH0Ul4gK,1mZbRiSVb2ExneAlDbBiiT,bossa nova
31,1mQ3ryvTBSWeEMkH0Ul4gK,1mZbRiSVb2ExneAlDbBiiT,mpb
31,1mQ3ryvTBSWeEMkH0Ul4gK,1mZbRiSVb2ExneAlDbBiiT,musica popular mineira
32,2KOZg6fEDvhsvGySfhaW9h,4oyJWIujsX8gS6NEUczEy5,
33,7hfIiNdcy5c0MWxnoMvCYN,1mZbRiSVb2ExneAlDbBiiT,bossa nova
33,7hfIiNdcy5c0MWxnoMvCYN,1mZbRiSVb2ExneAlDbBiiT,mpb
33,7hfIiNdcy5c0MWxnoMvCYN,1mZbRiSVb2ExneAlDbBiiT,musica popular mineira
34,0pI6RwmnFl9CawvPpvMVzO,2ZRQcIgzPCVaT9XKhXZIzh,edm
34,0pI6RwmnFl9CawvPpvMVzO,2ZRQcIgzPCVaT9XKhXZIzh,pop dance
35,2dX2W20qzwqM6G910woDKo,2bWTIIQP9zaVc55RaMGu7e,korean r&b
36,3SlzwAZ8BH5xZvfQjpSChY,6xgvgzXNv3ymcITXTrxRaA,electropop
37,73NGLYW9j5rbizafcDTvMG,39vA9YljbnOApXKniLWBZv,art pop
37,73NGLYW9j5rbizafcDTvMG,39vA9YljbnOApXKniLWBZv,chamber pop
37,73NGLYW9j5rbizafcDTvMG,39vA9YljbnOApXKniLWBZv,etherpop
37,73NGLYW9j5rbizafcDTvMG,39vA9YljbnOApXKniLWBZv,indie rock
37,73NGLYW9j5rbizafcDTvMG,39vA9YljbnOApXKniLWBZv,indietronica
37,73NGLYW9j5rbizafcDTvMG,39vA9YljbnOApXKniLWBZv,shimmer pop
38,2AmVGGu8jIgS7Kn3j6rB0K,3MNLhvqJkWsO6tcjY9ps62,alt z
38,2AmVGGu8jIgS7Kn3j6rB0K,3MNLhvqJkWsO6tcjY9ps62,indie pop
38,2AmVGGu8jIgS7Kn3j6rB0K,3MNLhvqJkWsO6tcjY9ps62,nyc pop
